Country,APR,Corruption,Homicide,Theft,Alcohol,Income,Unemployment,Tourism,Investment,Education,Traffic,Distance,Prostitution,HighIncome,LowIncome,LowerMiddleIncome,UpperMiddleIncome,Africa,Americas,Asia,Europe,MiddleEast
Afghanistan,122.4622437,1.504558126,4.683333333,2.083333333,38.3,90,7.5,500,3.75,3.335833333,19.8,11931.99,0,0,1,0,0,0,0,1,0,0
Albania,403.725905,0.676946712,5.058333333,0.291666667,27.5,726.801216,13.49999992,1726583.333,0.916666667,9.784166667,12.7,9146.36,0,0,0,0,1,0,0,0,1,0
Argentina,237.4875786,0.454566513,6.008333333,0.941666667,33.1,1838.082465,10.1500001,4409833.333,12311.66667,9.260833333,12.6,9017.25,1,0,0,0,1,0,1,0,0,0
Armenia,171.7438924,0.593823306,2.358333333,0.283333333,17.9,859.1850067,23.39999978,515750,1.666666667,10.56166667,18.1,10546.2,1,0,0,1,0,0,0,1,0,0
Australia,82.21454189,-1.986106902,1.3,0,31.3,5680.224417,5.241666635,5580833.333,89044.66667,11.35583333,6.1,15183.75,1,1,0,0,0,0,0,1,0,0
Austria,27.32391209,-1.833696236,0.683333333,0,29.6,3965.246032,4.483333369,2.13E+07,11873.16667,9.313333333,6.6,8343.54,1,1,0,0,0,0,0,0,1,0
Bahamas,645.0808151,-1.374364843,22.40833333,0.6,27.4,2093.469635,11.22499998,1478916.667,20216.08333,10.9,13.7,2193.17,0,1,0,0,0,0,1,0,0,0
Bangladesh,204.5958714,1.145962511,2.683333333,0.2,17.6,182.9269423,4.350000064,280500,294.5833333,5.273333333,11.6,13226.7,1,0,1,0,0,0,0,1,0,0
Barbados,118.7106272,-1.406059444,9.5,0,22.3,1434.681366,10.01666677,541166.6667,6020.583333,9.244166667,7.3,4461.86,0,1,0,0,0,0,1,0,0,0
Belarus,75.13971021,0.696878632,6.783333333,0.383333333,48,2940.41426,6.158333341,95416.66667,9.166666667,9.958333333,14.4,8565.42,0,0,0,0,1,0,0,0,1,0
Belgium,62.34889463,-1.421537687,2.041666667,0,27.7,5422.711736,7.866666555,7070500,47263.83333,10.54833333,8.1,7553.53,1,1,0,0,0,0,0,0,1,0
Belize,538.3383847,0.197157938,35.39166667,0.1,62.1,618.9004406,10.89999994,244750,47.33333333,10.76666667,16.4,2323.02,1,0,0,0,1,0,1,0,0,0
Bolivia,366.7661286,0.618493433,9.116666667,0.841666667,24.4,603.9408621,4.050000052,689416.6667,410.9166667,8.36,19.2,6822.81,1,0,0,1,0,0,1,0,0,0
Bosnia and Herzegovina,96.63622148,0.309533625,1.475,0.375,26.2,1534.302633,27.0583334,300750,4.083333333,8.566666667,15.6,8788.21,0,0,0,0,1,0,0,0,1,0
Brazil,1992.748109,0.036155351,23.65833333,2.5,33.1,1245.816695,7.958333333,5013083.333,49787.41667,7.2975,22.5,7316.57,1,0,0,0,1,0,1,0,0,0
Bulgaria,163.4134118,0.163035019,2.408333333,0.45,36.8,2586.539269,10.73333335,5370500,301.1666667,10.42083333,10.4,9332.2,0,0,0,0,1,0,0,0,1,0
Cambodia,137.0776469,1.108571087,6.5,0.45,31,312.0009808,0.87499999,2102250,16.75,4.156666667,17.2,14083.51,0,0,1,0,0,0,0,1,0,0
Cameroon,270.8619855,1.04535763,7.6,1.558333333,42,346.3104218,4.341666659,540083.3333,123.5833333,5.819166667,20.1,11082.39,0,0,0,1,0,1,0,0,0,0
Canada,196.5280141,-1.981161127,1.633333333,0,28.9,7841.813009,7.133333286,1.75E+07,260407.3333,11.85666667,6.8,2261.43,1,1,0,0,0,0,1,0,0,0
Cape Verde,258.683307,-0.623514488,8.466666667,1.7,38.6,206.4466593,7.099999905,291166.6667,0,3.5,22.4,7336.56,0,0,0,1,0,1,0,0,0,0
Chile,216.0484082,-1.431715558,3.4,0.691666667,31.1,1770.759197,7.841666659,2544250,21293.91667,9.556666667,12.3,8466.44,1,1,0,0,0,0,1,0,0,0
China,158.2889697,0.53564618,1.35,0,32.7,1623.051605,4.275000036,4.96E+07,37485.41667,7.273333333,20.5,11646.7,0,0,0,0,1,0,0,1,0,0
Colombia,358.0759967,0.251908871,39.4,0.516666667,27.8,642.024342,12.18333348,1652166.667,5084.666667,7.65,15.6,4222.11,1,0,0,0,1,0,1,0,0,0
Costa Rica,732.6087307,-0.520587804,8.766666667,0.4,22.7,935.0091781,6.633333365,1860833.333,1850.25,7.965,12.7,3268.87,1,0,0,0,1,0,1,0,0,0
Croatia,49.17591947,-0.067974118,1.416666667,0.233333333,33.3,1993.512977,12.68333348,8677666.667,64.58333333,10.6025,10.4,8553.46,0,1,0,0,0,0,0,0,1,0
Cuba,401.4301131,-0.305626574,4.2,0,18.5,989.3996319,2.375,2310250,-4.916666667,9.576666667,7.8,2444.81,0,0,0,0,1,0,1,0,0,0
Denmark,35.62912595,-2.450013379,0.858333333,0,35.2,3427.188372,5.583333353,7463333.333,9940.75,11.08416667,4.7,7487.55,1,1,0,0,0,0,0,0,1,0
Dominican Republic,511.7722649,0.664816052,22.675,0.7,27.1,745.3529077,15.59166654,3913750,1086.5,7.445,41.7,3216.18,1,0,0,0,1,0,1,0,0,0
Ecuador,669.3745497,0.790305778,15.73333333,0.958333333,32.6,797.8356336,6.024999936,978083.3333,942.3333333,7.379166667,27,4690.5,1,0,0,0,1,0,1,0,0,0
Egypt,277.1947783,0.556021482,1.616666667,3,11.8,896.9980254,10.54166651,9816333.333,9238.25,6.665833333,13.2,10975.88,0,0,0,1,0,0,0,0,0,1
El Salvador,2583.494624,0.340365946,53.49166667,2.141666667,15.8,717.7008896,6.600000024,1133750,1811.666667,7.295833333,21.9,2677.11,1,0,0,1,0,0,1,0,0,0
Eritrea,367.9650462,0.362851008,7.1,0,5.2,143.2164664,7.383333325,88666.66667,-3.833333333,3.4,48.4,12567.29,0,0,1,0,0,1,0,0,0,0
Ethiopia,132.1198931,0.665834491,12,0.95,57.1,381.3089451,5.683333397,375083.3333,13.16666667,1.858333333,17.6,13142.94,1,0,1,0,0,1,0,0,0,0
Fiji,173.559243,0.40259757,4,0.8,15.8,676.4984663,7.483333309,559083.3333,17.58333333,9.668333333,6.3,10859.59,0,0,0,0,1,0,0,1,0,0
France,75.61263367,-1.387447258,1.341666667,0,27.9,4078.341533,8.958333294,7.86E+07,70786.5,10.21416667,6.4,7665.22,1,1,0,0,0,0,0,0,1,0
Germany,26.95205868,-1.80206429,0.908333333,0.5,31.7,3995.432423,8.091666818,2.44E+07,98285.83333,11.4925,4.7,7861.09,1,1,0,0,0,0,0,0,1,0
Ghana,247.6373736,0.096179773,6.1,0.991666667,43.9,410.4724271,5.099999905,758666.6667,1393.416667,6.889166667,22.2,9887.4,0,0,0,1,0,1,0,0,0,0
Greece,27.95101384,-0.143143143,1.308333333,0,33.1,2576.27613,13.03333338,1.51E+07,1597.583333,9.780833333,12.2,9408.42,1,1,0,0,0,0,0,0,1,0
Grenada,125.5194482,-0.499122724,10.275,1.5,56,751.5239222,8.308333333,121500,5.166666667,8.508333333,11.45,4373.32,0,0,0,0,1,0,1,0,0,0
Guatemala,4097.042133,0.58332213,40.48333333,1.408333333,19.5,642.7889194,2.933333298,1551083.333,757.9166667,4.2025,6.7,2429.9,1,0,0,1,0,0,1,0,0,0
Guyana,123.8240087,0.56284494,18.39166667,1,29.9,642.2669228,11.59999998,137083.3333,105,8.508333333,27.8,5176.26,0,0,0,1,0,0,1,0,0,0
Haiti,253.0450702,1.36046357,6.516666667,0,25.1,299.9313086,7.358333349,230250,56.58333333,4.79,7.5,3040.92,0,0,1,0,0,0,1,0,0,0
Honduras,7582.33541,0.837930645,66.45,2.2,18.2,594.1417262,4.12499998,772583.3333,726.5833333,5.988333333,18.8,2607.41,1,0,0,1,0,0,1,0,0,0
Hungary,101.9957981,-0.452144022,1.608333333,0.075,36.4,2548.637744,8.408333262,9841731.481,4164.416667,11.60833333,9.1,8651.64,1,0,0,0,1,0,0,0,1,0
